section_no,selector,heading,roles,has_img,has_iframe,has_svg,role_summary,redundancy_note,excerpt
1,#problem .hero,Moorbodenschutz braucht räumliche Orientierung,global_context; frame_mismatch; value_chain; water_governance,False,False,False,Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Moore · Klimaschutz · regionale Planung Moorbodenschutz braucht räumliche Orientierung Wiedervernässung ist nicht nur eine ökologische Maßnahme. Sie verändert Nutzung, Betriebe, Wertschöpfung und Planung. 01 Kleine Fläche, große Wirkung Moore nehmen geringe Fl"
2,#story .section.is-retired,Sechsteilige Kartenstory,,False,False,False,Keine klare Karten-/Grafikrolle erkannt.,niedrig,Kartenfolge Sechsteilige Kartenstory
3,.b131-scope-section,"Fachlicher Demonstrator, keine Eignungskarte",value_chain; water_governance,False,False,False,These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Einordnung Fachlicher Demonstrator, keine Eignungskarte Diese Seite ordnet Moorbodenschutz räumlich ein und zeigt typische Zusammenhänge von Boden, Nutzung, Wasser und Wertschöpfung. Sie dient der Orientierung und Diskussion, nicht der Entscheidung über einzel"
4,#transitionLogic .transition-logic-block,"Moorbodenschutz wird erst mit Boden, Nutzung und Wasserstand planbar",frame_mismatch; value_chain; water_governance,False,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Kernargument Moorbodenschutz wird erst mit Boden, Nutzung und Wasserstand planbar Planbar wird Moorschutz erst, wenn Bodenkulissen, Nutzungskontexte, Wasserstand, betriebliche Fragen und mögliche Wertschöpfungsketten zusammen betrachtet werden."
5,#b119ClimateMechanism .b119-fachblock,"Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert",global_context; frame_mismatch; water_governance,False,False,False,Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"vorsichtig: schematische Planungsaussage, keine zusätzliche Detailkarte erzwingen","Grundlagen Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert Moorböden speichern Kohlenstoff im Torf. Werden sie entwässert, gelangt Sauerstoff in den Torfkörper; Torf wird abgebaut und es entstehen langfristige Treibhausgasemissionen – vor al"
6,.b136-frame-bridge,Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage,global_context; frame_mismatch; value_chain; water_governance,False,False,False,Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Frame-Mismatch Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage Globale Karten erklären, warum Moore relevant sind. Die Umsetzung entscheidet sich aber dort, wo Wasserstand, Nutzung, Eigentum, Betriebe und Wertschöpfungsketten zusamm"
7,#centralGlobalMapStory .central-map-story,Wo liegen die Moore?,global_context; frame_mismatch; water_governance; method_sources,True,False,False,"Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen. | Transparenz: Methodik, Quellen und Grenzen bündeln.",behalten: Kontext-/Maßstabskarte; nicht mit regionaler Detailkarte vermischen,Moore sind räumlich konzentriert und klimatisch wirksam Moore sind räumlich stark konzentriert. Moorkontext Datenbasis: Global Peatland Map 2.0 und FAOSTAT-Emissionsdaten zu drainierten organischen Böden; eigene kartografische Aufbereitung. 01 Wo liegen die Mo
8,#moor-primer .section.moore-primer-section.moore-primer-bridge,Der Wasserstand macht aus Moorboden Speicher oder Quelle,frame_mismatch; water_governance,False,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"vorsichtig: schematische Planungsaussage, keine zusätzliche Detailkarte erzwingen","Moore verstehen Der Wasserstand macht aus Moorboden Speicher oder Quelle Ein Moor ist kein gewöhnlicher Boden. Solange Torf nass bleibt, speichert er Kohlenstoff; wird er entwässert, wird er zur dauerhaften Emissionsquelle. Darum führt die Oberschwaben-Story v"
9,#b79RegionalImplementation .b79-section.b79-regional-implementation,In Oberschwaben wird Moorbodenschutz zur konkreten Nutzungsfrage,frame_mismatch; value_chain,False,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Regionale Planung In Oberschwaben wird Moorbodenschutz zur konkreten Nutzungsfrage In Baden-Württemberg wird Moorschutz zur konkreten Planungsfrage: Welche Nutzungskontexte sind berührt, welche betrieblichen Fragen entstehen, welche Produkte können tragfähig w"
10,#b79Pathways .b79-section.b79-pathways,Unterschiedliche Flächen brauchen unterschiedliche Transformationspfade,value_chain; water_governance,False,False,False,These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Transformationspfade Unterschiedliche Flächen brauchen unterschiedliche Transformationspfade Die zentrale Aufgabe ist nicht die eine Maßnahme, sondern die passende Kombination aus Wasserstand, Nutzung, Betriebsperspektive und öffentlicher Förderung. A Schützen"
11,#b79MethodeBoundary .b79-section.b79-method-boundary,"Die Karten zeigen Prüfbedarf, aber keine Flächeneignung",global_context; method_sources,False,False,False,"Kontext: Relevanz und Maßstabswechsel vorbereiten. | Transparenz: Methodik, Quellen und Grenzen bündeln.",niedrig,"Methodische Grenze Die Karten zeigen Prüfbedarf, aber keine Flächeneignung Die Karten zeigen Bodenkontexte und räumliche Überschneidungen. Sie ersetzen keine Eignungsprüfung, Priorisierung oder betriebliche Betroffenheitsanalyse. Datenbasis: Global Peatland Ma"
12,#b119WhyOberschwaben .b119-fachblock.b119-fachblock--compact,Warum Oberschwaben?,frame_mismatch; value_chain; water_governance,False,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Fokusraum Warum Oberschwaben? Oberschwaben ist für Baden-Württemberg ein zentraler Fokusraum, weil sich hier Moor- und Feuchtbodenkontexte, landwirtschaftliche Nutzung und Fragen künftiger Wertschöpfung besonders deutlich überlagern. Der Blick auf die Region m"
13,#oberschwaben-layer-story .moore-ob-section,"Oberschwaben, wo Moorschutz auf Landwirtschaft trifft",frame_mismatch; regional_static_story; water_governance,True,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Story-Karte: räumliche Einordnung der Schnittmenge im Lesefluss. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"behalten: Einordnung im Lesefluss; nicht durch Felt ersetzen, solange Sticky/Story-Kontext gebraucht wird","Regionale Planung Oberschwaben, wo Moorschutz auf Landwirtschaft trifft Die regionale Karte zerlegt den Zusammenhang in einzelne Ebenen: Verwaltungsraum, landwirtschaftliche Nutzung, Moor-/Feuchtbodenkontext und ihre räumliche Überschneidung. Begriffliche Eino"
14,#oberschwaben-felt-pilot .b149-felt-pilot.b152-felt-integration,Die statische Karte zeigt die Lage – die interaktive Karte zeigt die Details,frame_mismatch; regional_static_story; felt_interactive_deepening; value_chain; water_governance; method_sources,False,True,False,"Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Story-Karte: räumliche Einordnung der Schnittmenge im Lesefluss. | Vertiefung: dieselbe Schnittmenge interaktiv, scharf und klickbar. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen. | Transparenz: Methodik, Quellen und Grenzen bündeln.",potenzielle Dopplung: statische Story-Karte und interaktive Vertiefung im selben Abschnitt genau prüfen,Interaktive Vertiefung Die statische Karte zeigt die Lage – die interaktive Karte zeigt die Details Der vorherige Kartenabschnitt ordnet die Schnittmenge im Seitenfluss ein. Diese interaktive Version ist die Vertiefung: Sie zeigt dieselbe Kernaussage als schar
15,#oberschwaben-key-figures .section.moore-ob-keyfigures,"Die Schnittmenge macht den Prüfbedarf sichtbar, nicht die Lösung",regional_static_story; method_sources,False,False,False,"Story-Karte: räumliche Einordnung der Schnittmenge im Lesefluss. | Transparenz: Methodik, Quellen und Grenzen bündeln.","behalten: Einordnung im Lesefluss; nicht durch Felt ersetzen, solange Sticky/Story-Kontext gebraucht wird","Flächenbilanz Die Schnittmenge macht den Prüfbedarf sichtbar, nicht die Lösung Die Karte bleibt eine räumliche Einordnung. Die Verschneidung zeigt, dass die Überschneidung von landwirtschaftlicher Nutzung und Moor-/Feuchtbodenkontext auch in der Bilanz sichtba"
16,#pathways .section.moore-pathways-section,"Aus der Schnittmenge folgt Verhandlung, keine Einheitslösung",regional_static_story; value_chain; water_governance,False,False,False,Story-Karte: räumliche Einordnung der Schnittmenge im Lesefluss. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"behalten: Einordnung im Lesefluss; nicht durch Felt ersetzen, solange Sticky/Story-Kontext gebraucht wird","Transformationspfade Aus der Schnittmenge folgt Verhandlung, keine Einheitslösung Die Oberschwaben-Karte zeigt nicht, was auf einer einzelnen Fläche getan werden muss. Sie zeigt, wo unterschiedliche Transformationspfade verhandelt werden müssen: zwischen Wasse"
17,#wertschoepfung .section.section-dark.b130-engpass-climax.b130-option-a,Bis zur Ernte ist die Kette oft anschlussfähig — danach besteht häufig Entwicklungsbedarf.,frame_mismatch; value_chain; water_governance; method_sources,False,False,False,"Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen. | Transparenz: Methodik, Quellen und Grenzen bündeln.",kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Schematische Einordnung Bis zur Ernte ist die Kette oft anschlussfähig — danach besteht häufig Entwicklungsbedarf. Die Grafik ordnet typische Stufen der Wertschöpfungskette für nasse Moornutzung qualitativ ein. Sie zeigt keine Messwerte, sondern eine fachlich "
18,#value-chain-matrix .section.moore-value-section,"Nutzungskontexte entscheiden, welche Wertschöpfungspfade plausibel sind",regional_static_story; value_chain; water_governance,False,False,False,Story-Karte: räumliche Einordnung der Schnittmenge im Lesefluss. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"behalten: Einordnung im Lesefluss; nicht durch Felt ersetzen, solange Sticky/Story-Kontext gebraucht wird","Nutzung und Wertschöpfung Nutzungskontexte entscheiden, welche Wertschöpfungspfade plausibel sind Transformationspfade entstehen nicht allein aus dem Bodenkontext. Entscheidend ist, welche heutige Nutzung betroffen ist, welche Wasserstände erreichbar sind und "
19,.b139-water-governance,"Wasser folgt Einzugsgebieten, nicht Eigentumsgrenzen",water_governance,False,False,False,Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"vorsichtig: schematische Planungsaussage, keine zusätzliche Detailkarte erzwingen","Wasser und Governance Wasser folgt Einzugsgebieten, nicht Eigentumsgrenzen Wiedervernässung wird nicht allein auf der einzelnen Fläche entschieden. Der Wasserstand verbindet Parzellen, Betriebe, Gräben, Vorfluter und Nachbarschaften. Deshalb beginnt Umsetzung "
20,.b137-consequence-kicker,Der Hebel verschiebt sich von der Fläche zur Kette,value_chain; water_governance,False,False,False,These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Konsequenz Der Hebel verschiebt sich von der Fläche zur Kette Wiedervernässung bleibt der ökologische Kern. Für Umsetzung reicht die Flächenperspektive aber nicht aus: Entscheidend wird, ob Wasser, Nutzung, Verarbeitung und Nachfrage als zusammenhängendes Syst"
21,#quellen-methodik .b125-source-register.b125-source-register--compact,Grundlagen,global_context; frame_mismatch; felt_interactive_deepening; value_chain; water_governance; method_sources,False,False,False,"Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Vertiefung: dieselbe Schnittmenge interaktiv, scharf und klickbar. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen. | Transparenz: Methodik, Quellen und Grenzen bündeln.","behalten: interaktive Vertiefung; klar als Detailschicht rahmen, nicht als zweite Hauptkarte","Quellen, Methodik und Nutzungsrechte Datenbasis, fachliche Grundlagen und Rechtehinweise Details öffnen Die Seite ist eine räumliche Orientierung. Sie kombiniert öffentliche und projektbezogene Datengrundlagen mit eigener Auswahl, Klassifikation, Verschneidung"
